,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
278,284,Robert F. Curl Jr.,1933-08-23,{'1996'},{'chemistry'},male,USA
279,285,Sir Harold Kroto,1939-10-07,{'1996'},{'chemistry'},male,United Kingdom
280,286,Richard E. Smalley,1943-06-06,{'1996'},{'chemistry'},male,USA
281,287,Paul D. Boyer,1918-07-31,{'1997'},{'chemistry'},male,USA
282,288,John E. Walker,1941-01-07,{'1997'},{'chemistry'},male,United Kingdom
283,289,Jens C. Skou,1918-10-08,{'1997'},{'chemistry'},male,Faroe Islands (Denmark)
284,290,Walter Kohn,1923-03-09,{'1998'},{'chemistry'},male,Austria
285,291,John Pople,1925-10-31,{'1998'},{'chemistry'},male,United Kingdom
286,292,Ahmed Zewail,1946-02-26,{'1999'},{'chemistry'},male,Egypt
287,293,Emil von Behring,1854-03-15,{'1901'},{'medicine'},male,Prussia
288,294,Ronald Ross,1857-05-13,{'1902'},{'medicine'},male,India
289,295,Niels Ryberg Finsen,1860-12-15,{'1903'},{'medicine'},male,Faroe Islands (Denmark)
290,296,Ivan Pavlov,1849-09-14,{'1904'},{'medicine'},male,USSR
291,297,Robert Koch,1843-12-11,{'1905'},{'medicine'},male,Württemberg
292,298,Camillo Golgi,1843-07-07,{'1906'},{'medicine'},male,Tuscany
293,299,Santiago Ramón y Cajal,1852-05-01,{'1906'},{'medicine'},male,Spain
294,300,Alphonse Laveran,1845-06-18,{'1907'},{'medicine'},male,France
295,301,Ilya Mechnikov,1845-05-15,{'1908'},{'medicine'},male,Ukraine
296,302,Paul Ehrlich,1854-03-14,{'1908'},{'medicine'},male,Prussia
297,303,Theodor Kocher,1841-08-25,{'1909'},{'medicine'},male,Switzerland
298,304,Albrecht Kossel,1853-09-16,{'1910'},{'medicine'},male,Württemberg
299,305,Allvar Gullstrand,1862-06-05,{'1911'},{'medicine'},male,Sweden
300,306,Alexis Carrel,1873-06-28,{'1912'},{'medicine'},male,France
301,307,Charles Richet,1850-08-26,{'1913'},{'medicine'},male,France
302,308,Robert Bárány,1876-04-22,{'1914'},{'medicine'},male,Austria
303,309,Jules Bordet,1870-06-13,{'1919'},{'medicine'},male,Belgium
304,310,August Krogh,1874-11-15,{'1920'},{'medicine'},male,Faroe Islands (Denmark)
305,311,Archibald V. Hill,1886-09-26,{'1922'},{'medicine'},male,United Kingdom
306,312,Otto Meyerhof,1884-04-12,{'1922'},{'medicine'},male,Württemberg
307,313,Frederick G. Banting,1891-11-14,{'1923'},{'medicine'},male,Canada
308,314,John Macleod,1876-09-06,{'1923'},{'medicine'},male,United Kingdom
309,315,Willem Einthoven,1860-05-21,{'1924'},{'medicine'},male,"Java, Dutch East Indies"
310,316,Johannes Fibiger,1867-04-23,{'1926'},{'medicine'},male,Faroe Islands (Denmark)
311,317,Julius Wagner-Jauregg,1857-03-07,{'1927'},{'medicine'},male,Austria
312,318,Charles Nicolle,1866-09-21,{'1928'},{'medicine'},male,France
313,319,Christiaan Eijkman,1858-08-11,{'1929'},{'medicine'},male,the Netherlands
314,320,Sir Frederick Hopkins,1861-06-20,{'1929'},{'medicine'},male,United Kingdom
315,321,Karl Landsteiner,1868-06-14,{'1930'},{'medicine'},male,Austria
316,322,Otto Warburg,1883-10-08,{'1931'},{'medicine'},male,Württemberg
317,323,Sir Charles Sherrington,1857-11-27,{'1932'},{'medicine'},male,United Kingdom
318,324,Edgar Adrian,1889-11-30,{'1932'},{'medicine'},male,United Kingdom
319,325,Thomas H. Morgan,1866-09-25,{'1933'},{'medicine'},male,USA
320,326,George H. Whipple,1878-08-28,{'1934'},{'medicine'},male,USA
321,327,George R. Minot,1885-12-02,{'1934'},{'medicine'},male,USA
322,328,William P. Murphy,1892-02-06,{'1934'},{'medicine'},male,USA
323,329,Hans Spemann,1869-06-27,{'1935'},{'medicine'},male,Württemberg
324,330,Sir Henry Dale,1875-06-09,{'1936'},{'medicine'},male,United Kingdom
